N,P,K,temperature,humidity,ph,rainfall,season,district,soil_type,crop_price,water_availability,crop,fertilizer_used,soil_moisture,sunlight_hours,previous_crop
6.0,75.0,67.0,20.58,71.55,7.21,269.81,Rabi,Ranchi,Sandy,2000.0,4.0,wheat,Organic,75.93,8.3,rice
108.0,13.0,12.0,17.34,36.29,6.91,177.15,Rabi,Hazaribagh,Loamy,2100.0,4.0,chickpea,None,53.91,4.4,lentil
56.0,119.0,155.0,21.95,80.85,7.54,64.7,Rabi,Jamshedpur,Sandy,1600.0,4.0,barley,Compost,61.8,4.4,lentil
71.0,44.0,60.0,38.93,43.56,4.87,47.08,Rabi,Bokaro,Loamy,1500.0,4.0,millet,None,75.35,4.1,chickpea
67.0,16.0,191.0,26.49,28.74,8.19,42.06,Rabi,Bokaro,Loamy,2100.0,4.0,chickpea,None,62.43,9.7,maize
92.0,54.0,185.0,16.74,66.29,7.59,295.86,Rabi,Dhanbad,Loamy,2100.0,4.0,chickpea,DAP,29.15,8.4,lentil
97.0,76.0,121.0,30.89,45.54,5.98,78.66,Rabi,Bokaro,Sandy,2000.0,4.0,wheat,Compost,54.58,6.1,millet
43.0,141.0,191.0,21.12,52.36,5.58,279.11,Rabi,Hazaribagh,Sandy,2000.0,4.0,wheat,Compost,56.4,5.8,barley
83.0,19.0,63.0,35.55,76.35,6.1,38.53,Kharif,Hazaribagh,Sandy,3500.0,4.0,cotton,Compost,45.45,6.1,chickpea
54.0,132.0,106.0,37.12,65.0,5.07,59.1,Rabi,Hazaribagh,Loamy,1500.0,4.0,millet,None,64.19,8.6,wheat
67.0,114.0,154.0,24.99,35.35,8.49,162.67,Rabi,Ranchi,Loamy,1900.0,4.0,lentil,Organic,76.06,8.0,cotton
28.0,44.0,165.0,19.0,67.63,6.89,127.73,Kharif,Hazaribagh,Loamy,1800.0,4.0,rice,Compost,75.53,5.1,chickpea
135.0,69.0,146.0,36.52,20.8,7.38,210.88,Kharif,Hazaribagh,Sandy,2200.0,4.0,groundnut,None,47.05,5.0,chickpea
87.0,33.0,80.0,25.87,51.76,8.32,265.24,Zaid,Bokaro,Clayey,3000.0,4.0,sugarcane,DAP,26.79,4.6,rice
45.0,134.0,32.0,36.76,40.89,7.06,190.51,Rabi,Dhanbad,Loamy,1900.0,4.0,lentil,Organic,79.09,8.0,groundnut
41.0,143.0,204.0,38.06,84.29,6.9,156.81,Rabi,Ranchi,Loamy,1500.0,4.0,millet,DAP,70.33,8.6,maize
78.0,66.0,19.0,21.02,59.71,4.82,224.93,Rabi,Ranchi,Loamy,1500.0,4.0,millet,Organic,27.48,5.6,groundnut
32.0,37.0,173.0,26.88,58.49,5.56,264.28,Rabi,Jamshedpur,Loamy,1900.0,4.0,lentil,None,75.25,4.1,millet
138.0,56.0,187.0,22.79,89.66,7.1,142.67,Kharif,Hazaribagh,Sandy,3500.0,4.0,cotton,Urea,72.19,4.5,wheat
30.0,68.0,62.0,16.6,21.47,6.72,184.76,Kharif,Ranchi,Sandy,2200.0,4.0,groundnut,Organic,51.13,9.8,rice
15.0,63.0,22.0,37.64,80.17,4.78,86.64,Rabi,Jamshedpur,Sandy,2000.0,4.0,wheat,DAP,55.48,5.8,wheat
138.0,38.0,190.0,38.39,59.97,6.39,239.69,Kharif,Jamshedpur,Sandy,3500.0,4.0,cotton,None,43.94,8.6,millet
24.0,29.0,173.0,25.78,49.65,6.37,224.14,Kharif,Ranchi,Sandy,3500.0,4.0,cotton,Organic,23.29,7.7,groundnut
103.0,91.0,32.0,21.22,33.31,6.29,138.13,Kharif,Bokaro,Loamy,1800.0,4.0,rice,Urea,40.11,6.3,chickpea
63.0,24.0,118.0,35.2,79.92,4.89,202.6,Kharif,Hazaribagh,Sandy,2200.0,4.0,groundnut,Urea,68.17,5.2,lentil
23.0,65.0,47.0,25.16,53.7,7.96,272.68,Kharif,Dhanbad,Loamy,1800.0,4.0,rice,Compost,20.28,4.7,lentil
0.0,104.0,72.0,38.16,74.96,5.64,215.05,Rabi,Hazaribagh,Sandy,1600.0,4.0,barley,Compost,40.01,7.7,sugarcane
39.0,53.0,80.0,20.44,24.09,7.44,37.07,Kharif,Bokaro,Sandy,2200.0,4.0,groundnut,DAP,43.89,8.6,cotton
12.0,127.0,133.0,37.98,57.18,4.73,162.19,Kharif,Dhanbad,Loamy,1800.0,4.0,rice,Organic,52.24,7.9,maize
17.0,65.0,108.0,18.0,82.32,5.48,186.47,Rabi,Hazaribagh,Sandy,2000.0,4.0,wheat,Organic,75.19,7.2,millet
107.0,138.0,85.0,38.37,34.3,7.36,86.83,Rabi,Jamshedpur,Sandy,2000.0,4.0,wheat,Compost,40.78,4.3,cotton
76.0,122.0,85.0,38.23,85.5,4.54,193.92,Kharif,Hazaribagh,Clayey,1700.0,4.0,maize,Organic,40.82,9.8,maize
18.0,142.0,59.0,27.65,29.27,5.9,39.26,Rabi,Dhanbad,Sandy,2000.0,4.0,wheat,Organic,64.25,8.8,cotton
72.0,45.0,117.0,35.84,69.25,6.95,296.43,Rabi,Hazaribagh,Loamy,1500.0,4.0,millet,Urea,47.13,5.8,groundnut
76.0,31.0,39.0,21.61,82.28,7.47,63.53,Kharif,Bokaro,Loamy,1800.0,4.0,rice,Compost,33.48,9.9,maize
53.0,92.0,57.0,32.19,79.7,6.52,90.31,Rabi,Ranchi,Loamy,2100.0,4.0,chickpea,None,47.15,7.6,groundnut
108.0,75.0,16.0,15.09,73.98,7.05,93.35,Rabi,Jamshedpur,Sandy,2000.0,4.0,wheat,Compost,28.45,7.5,chickpea
109.0,7.0,33.0,16.88,81.82,8.12,172.77,Rabi,Bokaro,Loamy,1900.0,4.0,lentil,None,30.58,8.5,rice
37.0,115.0,37.0,16.05,45.53,8.23,292.21,Rabi,Ranchi,Loamy,2100.0,4.0,chickpea,Urea,49.9,8.9,groundnut
53.0,68.0,175.0,17.57,74.61,8.04,133.79,Rabi,Hazaribagh,Loamy,1500.0,4.0,millet,DAP,45.14,7.9,lentil
60.0,46.0,50.0,37.04,21.74,7.45,113.01,Kharif,Jamshedpur,Clayey,1700.0,4.0,maize,Organic,74.89,4.8,cotton
68.0,45.0,184.0,17.7,81.05,7.93,82.28,Kharif,Jamshedpur,Sandy,3500.0,4.0,cotton,Urea,41.74,6.0,sugarcane
78.0,63.0,62.0,15.59,33.52,5.81,262.02,Rabi,Bokaro,Loamy,1500.0,4.0,millet,Organic,54.84,9.6,barley
130.0,107.0,178.0,39.53,57.54,8.26,52.3,Rabi,Bokaro,Loamy,1500.0,4.0,millet,DAP,57.94,5.3,maize
67.0,14.0,32.0,29.91,44.2,7.65,142.19,Kharif,Hazaribagh,Clayey,1700.0,4.0,maize,DAP,20.79,6.2,millet
98.0,53.0,70.0,16.11,50.52,6.58,245.82,Rabi,Dhanbad,Sandy,2000.0,4.0,wheat,Urea,59.81,6.6,sugarcane
110.0,22.0,175.0,38.02,63.62,7.15,54.9,Rabi,Bokaro,Loamy,1500.0,4.0,millet,DAP,30.68,6.6,lentil
79.0,109.0,88.0,25.06,40.7,5.01,137.72,Rabi,Jamshedpur,Loamy,1900.0,4.0,lentil,None,77.66,7.7,groundnut
77.0,108.0,145.0,35.84,41.27,5.34,240.01,Kharif,Hazaribagh,Clayey,1700.0,4.0,maize,DAP,28.92,9.7,rice
119.0,118.0,118.0,31.89,55.78,7.67,288.75,Rabi,Dhanbad,Loamy,1500.0,4.0,millet,Organic,44.88,5.4,chickpea
72.0,136.0,174.0,30.82,43.46,7.77,230.32,Rabi,Bokaro,Sandy,2000.0,4.0,wheat,Organic,25.12,4.7,barley
50.0,42.0,11.0,16.16,88.88,6.95,235.18,Kharif,Jamshedpur,Sandy,3500.0,4.0,cotton,Organic,79.81,5.2,wheat
49.0,103.0,131.0,24.99,30.33,7.25,269.94,Rabi,Ranchi,Sandy,1600.0,4.0,barley,Organic,50.13,9.3,sugarcane
56.0,50.0,183.0,27.95,23.52,5.5,257.53,Rabi,Jamshedpur,Sandy,1600.0,4.0,barley,None,55.72,7.9,rice
118.0,140.0,148.0,29.89,86.5,8.07,191.54,Kharif,Hazaribagh,Clayey,1700.0,4.0,maize,Compost,24.02,5.7,wheat
140.0,119.0,45.0,33.59,53.23,5.54,89.23,Rabi,Bokaro,Sandy,1600.0,4.0,barley,Urea,65.0,8.9,barley
124.0,66.0,75.0,26.0,69.95,5.44,114.04,Rabi,Hazaribagh,Loamy,1900.0,4.0,lentil,Organic,32.59,9.2,millet
35.0,43.0,64.0,24.58,30.7,5.36,136.16,Rabi,Bokaro,Sandy,2000.0,4.0,wheat,DAP,73.88,9.1,millet
119.0,111.0,20.0,20.17,49.41,8.12,183.54,Rabi,Ranchi,Loamy,1900.0,4.0,lentil,Organic,32.31,9.5,cotton
