N,P,K,temperature,humidity,ph,rainfall,season,district,soil_type,crop_price,water_availability,crop
6,75,67,20.58,71.55,7.21,269.81,Rabi,Ranchi,Sandy,2000,Low,wheat
108,13,12,17.34,36.29,6.91,177.15,Rabi,Hazaribagh,Loamy,2100,Low,chickpea
56,119,155,21.95,80.85,7.54,64.7,Rabi,Jamshedpur,Sandy,1600,Medium,barley
71,44,60,38.93,43.56,4.87,47.08,Rabi,Bokaro,Loamy,1500,Low,millet
67,16,191,26.49,28.74,8.19,42.06,Rabi,Bokaro,Loamy,2100,Low,chickpea
92,54,185,16.74,66.29,7.59,295.86,Rabi,Dhanbad,Loamy,2100,Low,chickpea
97,76,121,30.89,45.54,5.98,78.66,Rabi,Bokaro,Sandy,2000,Low,wheat
43,141,191,21.12,52.36,5.58,279.11,Rabi,Hazaribagh,Sandy,2000,Low,wheat
83,19,63,35.55,76.35,6.1,38.53,Kharif,Hazaribagh,Sandy,3500,Low,cotton
54,132,106,37.12,65.0,5.07,59.1,Rabi,Hazaribagh,Loamy,1500,Low,millet
67,114,154,24.99,35.35,8.49,162.67,Rabi,Ranchi,Loamy,1900,Low,lentil
28,44,165,19.0,67.63,6.89,127.73,Kharif,Hazaribagh,Loamy,1800,Medium,rice
135,69,146,36.52,20.8,7.38,210.88,Kharif,Hazaribagh,Sandy,2200,Medium,groundnut
87,33,80,25.87,51.76,8.32,265.24,Zaid,Bokaro,Clayey,3000,High,sugarcane
45,134,32,36.76,40.89,7.06,190.51,Rabi,Dhanbad,Loamy,1900,Low,lentil
41,143,204,38.06,84.29,6.9,156.81,Rabi,Ranchi,Loamy,1500,Low,millet
78,66,19,21.02,59.71,4.82,224.93,Rabi,Ranchi,Loamy,1500,Low,millet
32,37,173,26.88,58.49,5.56,264.28,Rabi,Jamshedpur,Loamy,1900,Low,lentil
138,56,187,22.79,89.66,7.1,142.67,Kharif,Hazaribagh,Sandy,3500,Low,cotton
30,68,62,16.6,21.47,6.72,184.76,Kharif,Ranchi,Sandy,2200,Medium,groundnut
15,63,22,37.64,80.17,4.78,86.64,Rabi,Jamshedpur,Sandy,2000,Low,wheat
138,38,190,38.39,59.97,6.39,239.69,Kharif,Jamshedpur,Sandy,3500,Low,cotton
24,29,173,25.78,49.65,6.37,224.14,Kharif,Ranchi,Sandy,3500,Low,cotton
103,91,32,21.22,33.31,6.29,138.13,Kharif,Bokaro,Loamy,1800,Medium,rice
63,24,118,35.2,79.92,4.89,202.6,Kharif,Hazaribagh,Sandy,2200,Medium,groundnut
23,65,47,25.16,53.7,7.96,272.68,Kharif,Dhanbad,Loamy,1800,Medium,rice
0,104,72,38.16,74.96,5.64,215.05,Rabi,Hazaribagh,Sandy,1600,Medium,barley
39,53,80,20.44,24.09,7.44,37.07,Kharif,Bokaro,Sandy,2200,Medium,groundnut
12,127,133,37.98,57.18,4.73,162.19,Kharif,Dhanbad,Loamy,1800,Medium,rice
17,65,108,18.0,82.32,5.48,186.47,Rabi,Hazaribagh,Sandy,2000,Low,wheat
107,138,85,38.37,34.3,7.36,86.83,Rabi,Jamshedpur,Sandy,2000,Low,wheat
76,122,85,38.23,85.5,4.54,193.92,Kharif,Hazaribagh,Clayey,1700,High,maize
18,142,59,27.65,29.27,5.9,39.26,Rabi,Dhanbad,Sandy,2000,Low,wheat
72,45,117,35.84,69.25,6.95,296.43,Rabi,Hazaribagh,Loamy,1500,Low,millet
76,31,39,21.61,82.28,7.47,63.53,Kharif,Bokaro,Loamy,1800,Medium,rice
53,92,57,32.19,79.7,6.52,90.31,Rabi,Ranchi,Loamy,2100,Low,chickpea
108,75,16,15.09,73.98,7.05,93.35,Rabi,Jamshedpur,Sandy,2000,Low,wheat
109,7,33,16.88,81.82,8.12,172.77,Rabi,Bokaro,Loamy,1900,Low,lentil
37,115,37,16.05,45.53,8.23,292.21,Rabi,Ranchi,Loamy,2100,Low,chickpea
53,68,175,17.57,74.61,8.04,133.79,Rabi,Hazaribagh,Loamy,1500,Low,millet
60,46,50,37.04,21.74,7.45,113.01,Kharif,Jamshedpur,Clayey,1700,High,maize
68,45,184,17.7,81.05,7.93,82.28,Kharif,Jamshedpur,Sandy,3500,Low,cotton
78,63,62,15.59,33.52,5.81,262.02,Rabi,Bokaro,Loamy,1500,Low,millet
130,107,178,39.53,57.54,8.26,52.3,Rabi,Bokaro,Loamy,1500,Low,millet
67,14,32,29.91,44.2,7.65,142.19,Kharif,Hazaribagh,Clayey,1700,High,maize
98,53,70,16.11,50.52,6.58,245.82,Rabi,Dhanbad,Sandy,2000,Low,wheat
110,22,175,38.02,63.62,7.15,54.9,Rabi,Bokaro,Loamy,1500,Low,millet
79,109,88,25.06,40.7,5.01,137.72,Rabi,Jamshedpur,Loamy,1900,Low,lentil
77,108,145,35.84,41.27,5.34,240.01,Kharif,Hazaribagh,Clayey,1700,High,maize
119,118,118,31.89,55.78,7.67,288.75,Rabi,Dhanbad,Loamy,1500,Low,millet
72,136,174,30.82,43.46,7.77,230.32,Rabi,Bokaro,Sandy,2000,Low,wheat
50,42,11,16.16,88.88,6.95,235.18,Kharif,Jamshedpur,Sandy,3500,Low,cotton
49,103,131,24.99,30.33,7.25,269.94,Rabi,Ranchi,Sandy,1600,Medium,barley
56,50,183,27.95,23.52,5.5,257.53,Rabi,Jamshedpur,Sandy,1600,Medium,barley
118,140,148,29.89,86.5,8.07,191.54,Kharif,Hazaribagh,Clayey,1700,High,maize
140,119,45,33.59,53.23,5.54,89.23,Rabi,Bokaro,Sandy,1600,Medium,barley
124,66,75,26.0,69.95,5.44,114.04,Rabi,Hazaribagh,Loamy,1900,Low,lentil
35,43,64,24.58,30.7,5.36,136.16,Rabi,Bokaro,Sandy,2000,Low,wheat
119,111,20,20.17,49.41,8.12,183.54,Rabi,Ranchi,Loamy,1900,Low,lentil
97,127,6,38.57,40.9,6.06,269.66,Rabi,Jamshedpur,Loamy,2100,Low,chickpea
139,61,129,20.49,50.51,4.62,114.12,Rabi,Jamshedpur,Loamy,1900,Low,lentil
119,37,164,28.35,83.49,6.87,205.64,Kharif,Ranchi,Clayey,1700,High,maize
34,123,51,16.26,46.54,5.35,111.52,Rabi,Jamshedpur,Sandy,1600,Medium,barley
107,69,25,26.76,72.43,4.71,286.54,Zaid,Dhanbad,Clayey,3000,High,sugarcane
10,12,68,19.98,21.43,5.11,55.34,Rabi,Ranchi,Sandy,2000,Low,wheat
55,124,184,21.41,45.82,6.92,289.85,Rabi,Ranchi,Loamy,2100,Low,chickpea
79,32,153,15.64,41.84,7.21,288.29,Kharif,Jamshedpur,Clayey,1700,High,maize
19,67,31,32.43,41.11,7.24,245.55,Kharif,Hazaribagh,Sandy,3500,Low,cotton
88,141,114,31.54,24.83,7.09,23.54,Kharif,Jamshedpur,Loamy,1800,Medium,rice
27,115,97,30.89,78.01,7.33,141.94,Kharif,Hazaribagh,Sandy,2200,Medium,groundnut
137,128,124,25.89,71.17,5.57,258.48,Zaid,Ranchi,Clayey,3000,High,sugarcane
115,67,197,26.62,62.72,6.02,28.04,Zaid,Bokaro,Clayey,3000,High,sugarcane
124,59,95,34.95,43.82,8.02,216.33,Kharif,Bokaro,Clayey,1700,High,maize
2,137,53,17.14,70.41,6.45,232.29,Rabi,Jamshedpur,Loamy,1900,Low,lentil
114,9,28,22.36,48.31,5.47,205.91,Kharif,Bokaro,Sandy,2200,Medium,groundnut
135,93,113,39.92,58.53,5.91,147.05,Kharif,Bokaro,Sandy,2200,Medium,groundnut
59,35,189,19.81,28.37,6.64,233.41,Zaid,Dhanbad,Clayey,3000,High,sugarcane
55,128,75,33.11,88.36,6.6,99.24,Kharif,Ranchi,Sandy,3500,Low,cotton
75,63,97,19.49,20.99,6.64,96.81,Kharif,Ranchi,Sandy,3500,Low,cotton
74,37,168,36.71,54.36,7.99,180.74,Rabi,Jamshedpur,Loamy,1900,Low,lentil
112,92,52,39.14,37.67,7.95,51.94,Kharif,Ranchi,Sandy,2200,Medium,groundnut
125,23,152,30.74,23.75,5.1,177.6,Rabi,Bokaro,Sandy,1600,Medium,barley
63,35,147,34.11,62.44,7.66,83.19,Rabi,Hazaribagh,Sandy,2000,Low,wheat
115,118,81,36.5,89.3,5.72,193.89,Rabi,Hazaribagh,Sandy,1600,Medium,barley
53,59,72,31.51,30.99,5.2,41.02,Rabi,Ranchi,Sandy,2000,Low,wheat
115,125,79,15.82,40.17,5.63,260.69,Rabi,Ranchi,Sandy,1600,Medium,barley
67,55,113,17.87,35.74,5.1,94.38,Kharif,Dhanbad,Sandy,3500,Low,cotton
15,47,83,29.88,77.7,8.18,142.96,Rabi,Jamshedpur,Sandy,2000,Low,wheat
103,74,133,28.5,50.64,6.89,269.04,Zaid,Bokaro,Clayey,3000,High,sugarcane
64,11,28,20.72,67.2,7.94,184.39,Rabi,Ranchi,Loamy,2100,Low,chickpea
10,49,125,27.97,50.96,5.61,299.14,Zaid,Jamshedpur,Clayey,3000,High,sugarcane
23,125,94,25.21,42.47,4.92,65.03,Kharif,Jamshedpur,Sandy,2200,Medium,groundnut
73,107,199,28.75,51.84,5.76,110.52,Kharif,Jamshedpur,Sandy,2200,Medium,groundnut
0,143,123,25.33,33.13,5.95,231.8,Rabi,Jamshedpur,Loamy,1900,Low,lentil
52,73,145,18.28,40.16,8.02,155.72,Kharif,Ranchi,Loamy,1800,Medium,rice
61,45,84,28.77,58.66,4.87,297.83,Rabi,Ranchi,Loamy,2100,Low,chickpea
30,44,132,38.32,40.43,7.32,136.34,Kharif,Jamshedpur,Sandy,2200,Medium,groundnut
62,121,146,18.62,33.34,6.9,228.96,Kharif,Dhanbad,Sandy,2200,Medium,groundnut
70,111,92,38.36,55.54,7.78,99.19,Rabi,Bokaro,Sandy,2000,Low,wheat
125,43,119,28.46,44.16,6.71,172.16,Rabi,Jamshedpur,Loamy,2100,Low,chickpea
48,66,151,24.57,79.92,6.14,109.09,Rabi,Jamshedpur,Loamy,1500,Low,millet
98,43,131,39.12,28.84,8.36,112.96,Rabi,Ranchi,Sandy,1600,Medium,barley
25,139,121,15.38,30.09,7.98,291.59,Kharif,Ranchi,Sandy,2200,Medium,groundnut
67,91,164,32.32,65.49,7.91,258.66,Kharif,Hazaribagh,Sandy,2200,Medium,groundnut
81,129,143,15.9,24.79,7.02,277.86,Rabi,Dhanbad,Sandy,1600,Medium,barley
111,30,199,30.84,81.08,6.27,214.32,Rabi,Ranchi,Sandy,2000,Low,wheat
83,19,80,23.96,50.15,5.48,135.37,Kharif,Dhanbad,Loamy,1800,Medium,rice
44,25,161,36.77,63.38,5.46,275.59,Kharif,Dhanbad,Clayey,1700,High,maize
118,70,122,21.38,20.66,7.72,272.34,Kharif,Hazaribagh,Sandy,3500,Low,cotton
18,118,93,39.69,40.94,8.35,213.29,Kharif,Jamshedpur,Clayey,1700,High,maize
50,103,128,17.67,46.7,5.94,102.84,Zaid,Bokaro,Clayey,3000,High,sugarcane
101,75,7,29.15,68.01,7.48,33.73,Kharif,Hazaribagh,Loamy,1800,Medium,rice
73,63,160,35.05,35.33,5.26,90.18,Kharif,Dhanbad,Sandy,2200,Medium,groundnut
10,84,117,15.83,45.54,5.03,274.7,Rabi,Bokaro,Sandy,2000,Low,wheat
44,56,38,34.66,81.35,5.96,160.5,Rabi,Bokaro,Sandy,1600,Medium,barley
65,128,80,33.66,43.71,4.96,289.61,Kharif,Dhanbad,Clayey,1700,High,maize
101,98,28,34.77,20.97,6.65,147.34,Kharif,Bokaro,Sandy,3500,Low,cotton
97,100,32,31.87,53.0,6.98,284.09,Rabi,Bokaro,Loamy,2100,Low,chickpea
56,21,167,35.6,83.66,5.71,134.32,Rabi,Dhanbad,Loamy,2100,Low,chickpea
9,82,131,17.9,36.44,6.65,128.82,Kharif,Bokaro,Loamy,1800,Medium,rice
107,44,111,31.37,78.36,6.96,282.93,Rabi,Bokaro,Loamy,1900,Low,lentil
94,60,118,26.12,36.53,5.95,294.66,Kharif,Bokaro,Loamy,1800,Medium,rice
91,20,106,21.9,87.77,8.3,250.77,Rabi,Ranchi,Loamy,1900,Low,lentil
5,17,90,21.09,28.81,6.76,39.21,Kharif,Hazaribagh,Sandy,3500,Low,cotton
55,64,89,34.36,75.21,6.88,97.64,Kharif,Dhanbad,Sandy,3500,Low,cotton
138,69,49,17.75,80.65,5.03,120.31,Kharif,Dhanbad,Clayey,1700,High,maize
82,9,49,21.63,28.87,6.18,51.82,Rabi,Ranchi,Loamy,2100,Low,chickpea
114,97,136,29.84,51.64,5.39,192.23,Kharif,Hazaribagh,Sandy,2200,Medium,groundnut
117,12,20,39.96,79.31,6.21,50.23,Zaid,Jamshedpur,Clayey,3000,High,sugarcane
20,87,160,18.71,28.83,7.0,183.9,Rabi,Bokaro,Sandy,2000,Low,wheat
135,80,121,27.64,50.11,7.67,52.04,Rabi,Hazaribagh,Sandy,1600,Medium,barley
110,120,63,25.35,77.92,6.09,224.29,Kharif,Bokaro,Sandy,3500,Low,cotton
80,70,100,38.84,68.08,6.4,45.54,Rabi,Ranchi,Sandy,1600,Medium,barley
110,29,195,33.47,76.82,6.73,184.21,Rabi,Hazaribagh,Sandy,2000,Low,wheat
84,36,110,23.84,66.57,7.5,263.07,Rabi,Ranchi,Loamy,1900,Low,lentil
79,95,31,29.45,34.89,7.13,82.79,Zaid,Ranchi,Clayey,3000,High,sugarcane
94,34,200,21.96,35.83,6.22,177.07,Rabi,Hazaribagh,Loamy,1500,Low,millet
6,73,12,19.51,69.19,5.74,115.15,Rabi,Ranchi,Loamy,2100,Low,chickpea
36,107,22,18.55,64.32,4.62,228.91,Kharif,Dhanbad,Clayey,1700,High,maize
107,121,92,18.94,41.81,5.8,283.59,Rabi,Hazaribagh,Sandy,1600,Medium,barley
